🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w226.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_226.world <<<<<<<<<<<<<<<<<<
[WARN] [1749835471.244211, 61.107000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.20 (m)
Time: 3.42 (s), x: -1.77 (m), y: 4.61 (m)
Time: 3.53 (s), x: -1.76 (m), y: 4.67 (m)
Time: 3.64 (s), x: -1.75 (m), y: 4.71 (m)
Time: 3.75 (s), x: -1.73 (m), y: 4.76 (m)
Time: 3.85 (s), x: -1.71 (m), y: 4.80 (m)
Time: 3.96 (s), x: -1.69 (m), y: 4.85 (m)
Time: 4.07 (s), x: -1.67 (m), y: 4.90 (m)
Time: 4.18 (s), x: -1.65 (m), y: 4.94 (m)
Time: 4.29 (s), x: -1.63 (m), y: 4.99 (m)
Time: 4.40 (s), x: -1.61 (m), y: 5.04 (m)
Time: 4.50 (s), x: -1.59 (m), y: 5.08 (m)
Time: 4.61 (s), x: -1.57 (m), y: 5.13 (m)
Time: 4.72 (s), x: -1.55 (m), y: 5.17 (m)
Time: 4.83 (s), x: -1.53 (m), y: 5.22 (m)
Time: 4.93 (s), x: -1.52 (m), y: 5.27 (m)
Time: 5.04 (s), x: -1.52 (m), y: 5.32 (m)
Time: 5.15 (s), x: -1.52 (m), y: 5.37 (m)
Time: 5.26 (s), x: -1.53 (m), y: 5.42 (m)
Time: 5.37 (s), x: -1.54 (m), y: 5.47 (m)
Time: 5.48 (s), x: -1.54 (m), y: 5.52 (m)
Time: 5.59 (s), x: -1.53 (m), y: 5.57 (m)
Time: 5.70 (s), x: -1.52 (m), y: 5.62 (m)
Time: 5.81 (s), x: -1.52 (m), y: 5.67 (m)
Time: 5.91 (s), x: -1.51 (m), y: 5.73 (m)
Time: 6.02 (s), x: -1.50 (m), y: 5.79 (m)
Time: 6.13 (s), x: -1.49 (m), y: 5.84 (m)
Time: 6.23 (s), x: -1.50 (m), y: 5.88 (m)
Time: 6.34 (s), x: -1.50 (m), y: 5.93 (m)
Time: 6.45 (s), x: -1.51 (m), y: 5.98 (m)
Time: 6.55 (s), x: -1.51 (m), y: 6.03 (m)
Time: 6.66 (s), x: -1.50 (m), y: 6.08 (m)
Time: 6.77 (s), x: -1.50 (m), y: 6.13 (m)
Time: 6.88 (s), x: -1.50 (m), y: 6.19 (m)
Time: 6.99 (s), x: -1.50 (m), y: 6.24 (m)
Time: 7.10 (s), x: -1.50 (m), y: 6.30 (m)
Time: 7.20 (s), x: -1.50 (m), y: 6.34 (m)
Time: 7.30 (s), x: -1.50 (m), y: 6.40 (m)
Time: 7.41 (s), x: -1.50 (m), y: 6.45 (m)
Time: 7.52 (s), x: -1.50 (m), y: 6.48 (m)
Time: 7.62 (s), x: -1.50 (m), y: 6.52 (m)
Time: 7.73 (s), x: -1.50 (m), y: 6.56 (m)
Time: 7.84 (s), x: -1.50 (m), y: 6.61 (m)
Time: 7.95 (s), x: -1.50 (m), y: 6.66 (m)
Time: 8.05 (s), x: -1.49 (m), y: 6.71 (m)
Time: 8.16 (s), x: -1.49 (m), y: 6.75 (m)
Time: 8.27 (s), x: -1.48 (m), y: 6.80 (m)
Time: 8.37 (s), x: -1.47 (m), y: 6.85 (m)
Time: 8.48 (s), x: -1.46 (m), y: 6.89 (m)
Time: 8.58 (s), x: -1.46 (m), y: 6.93 (m)
Time: 8.69 (s), x: -1.46 (m), y: 6.96 (m)
Time: 8.80 (s), x: -1.46 (m), y: 6.99 (m)
Time: 8.90 (s), x: -1.45 (m), y: 7.04 (m)
Time: 9.00 (s), x: -1.44 (m), y: 7.08 (m)
Time: 9.11 (s), x: -1.43 (m), y: 7.13 (m)
Time: 9.22 (s), x: -1.42 (m), y: 7.18 (m)
Time: 9.33 (s), x: -1.41 (m), y: 7.23 (m)
Time: 9.43 (s), x: -1.40 (m), y: 7.28 (m)
Time: 9.54 (s), x: -1.39 (m), y: 7.32 (m)
Time: 9.64 (s), x: -1.39 (m), y: 7.36 (m)
Time: 9.74 (s), x: -1.38 (m), y: 7.41 (m)
Time: 9.85 (s), x: -1.38 (m), y: 7.45 (m)
Time: 9.95 (s), x: -1.37 (m), y: 7.50 (m)
Time: 10.06 (s), x: -1.37 (m), y: 7.56 (m)
Time: 10.16 (s), x: -1.37 (m), y: 7.62 (m)
Time: 10.27 (s), x: -1.37 (m), y: 7.67 (m)
Time: 10.37 (s), x: -1.37 (m), y: 7.71 (m)
Time: 10.48 (s), x: -1.36 (m), y: 7.76 (m)
Time: 10.59 (s), x: -1.37 (m), y: 7.80 (m)
Time: 10.69 (s), x: -1.38 (m), y: 7.85 (m)
Time: 10.79 (s), x: -1.38 (m), y: 7.91 (m)
Time: 10.90 (s), x: -1.39 (m), y: 7.96 (m)
Time: 11.00 (s), x: -1.39 (m), y: 8.02 (m)
Time: 11.10 (s), x: -1.40 (m), y: 8.07 (m)
Time: 11.21 (s), x: -1.40 (m), y: 8.12 (m)
Time: 11.32 (s), x: -1.40 (m), y: 8.16 (m)
Time: 11.42 (s), x: -1.40 (m), y: 8.21 (m)
Time: 11.52 (s), x: -1.39 (m), y: 8.26 (m)
Time: 11.63 (s), x: -1.38 (m), y: 8.31 (m)
Time: 11.73 (s), x: -1.38 (m), y: 8.35 (m)
Time: 11.83 (s), x: -1.38 (m), y: 8.40 (m)
Time: 11.93 (s), x: -1.37 (m), y: 8.44 (m)
Time: 12.04 (s), x: -1.37 (m), y: 8.49 (m)
Time: 12.14 (s), x: -1.36 (m), y: 8.54 (m)
Time: 12.25 (s), x: -1.36 (m), y: 8.60 (m)
Time: 12.35 (s), x: -1.36 (m), y: 8.64 (m)
Time: 12.45 (s), x: -1.36 (m), y: 8.69 (m)
Time: 12.55 (s), x: -1.35 (m), y: 8.74 (m)
Time: 12.65 (s), x: -1.35 (m), y: 8.79 (m)
Time: 12.75 (s), x: -1.34 (m), y: 8.83 (m)
Time: 12.85 (s), x: -1.34 (m), y: 8.88 (m)
Time: 12.96 (s), x: -1.33 (m), y: 8.92 (m)
Time: 13.06 (s), x: -1.32 (m), y: 8.96 (m)
Time: 13.16 (s), x: -1.31 (m), y: 9.00 (m)
Time: 13.26 (s), x: -1.31 (m), y: 9.05 (m)
Time: 13.36 (s), x: -1.30 (m), y: 9.09 (m)
Time: 13.47 (s), x: -1.30 (m), y: 9.16 (m)
Time: 13.57 (s), x: -1.29 (m), y: 9.21 (m)
Time: 13.68 (s), x: -1.29 (m), y: 9.27 (m)
Time: 13.78 (s), x: -1.29 (m), y: 9.32 (m)
Time: 13.88 (s), x: -1.30 (m), y: 9.37 (m)
Time: 13.98 (s), x: -1.31 (m), y: 9.42 (m)
Time: 14.09 (s), x: -1.32 (m), y: 9.47 (m)
Time: 14.19 (s), x: -1.33 (m), y: 9.51 (m)
Time: 14.29 (s), x: -1.34 (m), y: 9.56 (m)
Time: 14.39 (s), x: -1.35 (m), y: 9.60 (m)
Time: 14.49 (s), x: -1.36 (m), y: 9.65 (m)
Time: 14.60 (s), x: -1.37 (m), y: 9.69 (m)
Time: 14.70 (s), x: -1.38 (m), y: 9.74 (m)
Time: 14.80 (s), x: -1.39 (m), y: 9.78 (m)
Time: 14.90 (s), x: -1.41 (m), y: 9.83 (m)
Time: 15.00 (s), x: -1.42 (m), y: 9.87 (m)
Time: 15.10 (s), x: -1.43 (m), y: 9.92 (m)
Time: 15.21 (s), x: -1.44 (m), y: 9.97 (m)
Time: 15.32 (s), x: -1.45 (m), y: 10.01 (m)
Time: 15.42 (s), x: -1.47 (m), y: 10.06 (m)
Time: 15.52 (s), x: -1.48 (m), y: 10.11 (m)
Time: 15.62 (s), x: -1.49 (m), y: 10.15 (m)
Time: 15.72 (s), x: -1.50 (m), y: 10.20 (m)
Time: 15.82 (s), x: -1.51 (m), y: 10.24 (m)
Time: 15.92 (s), x: -1.53 (m), y: 10.29 (m)
Time: 16.03 (s), x: -1.54 (m), y: 10.34 (m)
Time: 16.13 (s), x: -1.55 (m), y: 10.38 (m)
Time: 16.23 (s), x: -1.56 (m), y: 10.43 (m)
Time: 16.33 (s), x: -1.57 (m), y: 10.47 (m)
Time: 16.43 (s), x: -1.58 (m), y: 10.52 (m)
Time: 16.54 (s), x: -1.60 (m), y: 10.56 (m)
Time: 16.64 (s), x: -1.61 (m), y: 10.61 (m)
Time: 16.75 (s), x: -1.62 (m), y: 10.66 (m)
Time: 16.85 (s), x: -1.63 (m), y: 10.71 (m)
Time: 16.95 (s), x: -1.65 (m), y: 10.75 (m)
Time: 17.05 (s), x: -1.66 (m), y: 10.80 (m)
Time: 17.16 (s), x: -1.67 (m), y: 10.84 (m)
Time: 17.26 (s), x: -1.68 (m), y: 10.89 (m)
Time: 17.36 (s), x: -1.69 (m), y: 10.93 (m)
Time: 17.46 (s), x: -1.70 (m), y: 10.98 (m)
Time: 17.56 (s), x: -1.72 (m), y: 11.03 (m)
Time: 17.66 (s), x: -1.73 (m), y: 11.07 (m)
Time: 17.77 (s), x: -1.74 (m), y: 11.12 (m)
Time: 17.87 (s), x: -1.75 (m), y: 11.16 (m)
Time: 17.98 (s), x: -1.76 (m), y: 11.21 (m)
Time: 18.08 (s), x: -1.77 (m), y: 11.26 (m)
Time: 18.18 (s), x: -1.79 (m), y: 11.30 (m)
Time: 18.28 (s), x: -1.80 (m), y: 11.35 (m)
Time: 18.39 (s), x: -1.81 (m), y: 11.40 (m)
Time: 18.49 (s), x: -1.82 (m), y: 11.44 (m)
Time: 18.59 (s), x: -1.83 (m), y: 11.49 (m)
Time: 18.69 (s), x: -1.84 (m), y: 11.53 (m)
Time: 18.79 (s), x: -1.85 (m), y: 11.58 (m)
Time: 18.90 (s), x: -1.87 (m), y: 11.63 (m)
Time: 19.00 (s), x: -1.88 (m), y: 11.67 (m)
Time: 19.10 (s), x: -1.89 (m), y: 11.72 (m)
Time: 19.20 (s), x: -1.90 (m), y: 11.76 (m)
Time: 19.30 (s), x: -1.91 (m), y: 11.81 (m)
Time: 19.41 (s), x: -1.92 (m), y: 11.86 (m)
Time: 19.51 (s), x: -1.93 (m), y: 11.90 (m)
Time: 19.61 (s), x: -1.95 (m), y: 11.95 (m)
Time: 19.71 (s), x: -1.96 (m), y: 11.99 (m)
Time: 19.82 (s), x: -1.97 (m), y: 12.04 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation succeeded with time 19.8150 (s)
Navigation metric: 0.2741
