🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w258.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_258.world <<<<<<<<<<<<<<<<<<
[WARN] [1749852162.614182, 59.521000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.35 (m)
Time: 6.77 (s), x: -1.89 (m), y: 6.21 (m)
Time: 6.87 (s), x: -1.90 (m), y: 6.21 (m)
Time: 6.98 (s), x: -1.91 (m), y: 6.20 (m)
Time: 7.08 (s), x: -1.92 (m), y: 6.21 (m)
Time: 7.19 (s), x: -1.93 (m), y: 6.24 (m)
Time: 7.29 (s), x: -1.93 (m), y: 6.27 (m)
Time: 7.40 (s), x: -1.93 (m), y: 6.32 (m)
Time: 7.50 (s), x: -1.92 (m), y: 6.35 (m)
Time: 7.61 (s), x: -1.92 (m), y: 6.37 (m)
Time: 7.71 (s), x: -1.92 (m), y: 6.38 (m)
Time: 7.82 (s), x: -1.91 (m), y: 6.39 (m)
Time: 7.92 (s), x: -1.91 (m), y: 6.41 (m)
Time: 8.02 (s), x: -1.90 (m), y: 6.43 (m)
Time: 8.13 (s), x: -1.89 (m), y: 6.45 (m)
Time: 8.23 (s), x: -1.88 (m), y: 6.48 (m)
Time: 8.33 (s), x: -1.88 (m), y: 6.53 (m)
Time: 8.44 (s), x: -1.87 (m), y: 6.58 (m)
Time: 8.54 (s), x: -1.87 (m), y: 6.65 (m)
Time: 8.65 (s), x: -1.87 (m), y: 6.73 (m)
Time: 8.75 (s), x: -1.87 (m), y: 6.81 (m)
Time: 8.85 (s), x: -1.87 (m), y: 6.89 (m)
Time: 8.96 (s), x: -1.88 (m), y: 6.96 (m)
Time: 9.07 (s), x: -1.89 (m), y: 7.01 (m)
Time: 9.17 (s), x: -1.89 (m), y: 7.05 (m)
Time: 9.27 (s), x: -1.89 (m), y: 7.07 (m)
Time: 9.38 (s), x: -1.89 (m), y: 7.08 (m)
Time: 9.49 (s), x: -1.88 (m), y: 7.08 (m)
Time: 9.59 (s), x: -1.87 (m), y: 7.07 (m)
Time: 9.70 (s), x: -1.86 (m), y: 7.06 (m)
Time: 9.80 (s), x: -1.83 (m), y: 7.03 (m)
Time: 9.91 (s), x: -1.81 (m), y: 7.02 (m)
Time: 10.01 (s), x: -1.79 (m), y: 7.01 (m)
Time: 10.12 (s), x: -1.77 (m), y: 7.00 (m)
Time: 10.23 (s), x: -1.75 (m), y: 7.00 (m)
Time: 10.33 (s), x: -1.77 (m), y: 7.00 (m)
Time: 10.43 (s), x: -1.78 (m), y: 6.98 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation collided with time 10.4310 (s)
Navigation metric: 0.0000
