🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.93 (m), y: 0.08 (m)
Time: 0.11 (s), x: 10.90 (m), y: 0.08 (m)
Time: 0.22 (s), x: 10.88 (m), y: 0.07 (m)
Time: 14.48 (s), x: 10.95 (m), y: -0.21 (m)
Time: 14.59 (s), x: 10.98 (m), y: -0.21 (m)
Time: 14.69 (s), x: 11.01 (m), y: -0.21 (m)
Time: 14.79 (s), x: 11.04 (m), y: -0.20 (m)
Time: 14.89 (s), x: 11.06 (m), y: -0.19 (m)
Time: 15.00 (s), x: 11.08 (m), y: -0.17 (m)
Time: 15.10 (s), x: 11.10 (m), y: -0.14 (m)
Time: 15.20 (s), x: 11.11 (m), y: -0.12 (m)
Time: 15.30 (s), x: 11.11 (m), y: -0.09 (m)
Time: 15.41 (s), x: 11.11 (m), y: -0.06 (m)
Time: 15.51 (s), x: 11.10 (m), y: -0.03 (m)
Time: 15.61 (s), x: 11.09 (m), y: -0.01 (m)
Time: 15.72 (s), x: 11.07 (m), y: 0.01 (m)
Time: 15.82 (s), x: 11.06 (m), y: 0.03 (m)
Time: 15.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 16.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 17.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 18.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.32 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 19.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.04 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.87 (s), x: 11.05 (m), y: 0.03 (m)
Time: 20.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 21.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 22.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 23.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 24.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 25.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.32 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 26.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.04 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 27.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.79 (s), x: 11.05 (m), y: 0.03 (m)
Time: 28.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 29.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 30.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.79 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 31.99 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 32.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.33 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 33.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.87 (s), x: 11.05 (m), y: 0.03 (m)
Time: 34.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 35.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 36.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 37.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.67 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 38.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.08 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.39 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.70 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 39.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.11 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.42 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 40.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 41.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 42.99 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 43.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.22 (s), x: 11.05 (m), y: 0.03 (m)
