🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.95 (m), y: 0.09 (m)
Time: 0.12 (s), x: 10.93 (m), y: 0.10 (m)
Time: 0.22 (s), x: 10.92 (m), y: 0.11 (m)
Time: 12.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.61 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.92 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.13 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.23 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.34 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.45 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.76 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.87 (s), x: 11.00 (m), y: 0.03 (m)
Time: 13.97 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.18 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.39 (s), x: 11.00 (m), y: 0.04 (m)
Time: 14.50 (s), x: 11.00 (m), y: 0.04 (m)
Time: 14.60 (s), x: 10.99 (m), y: 0.05 (m)
Time: 14.71 (s), x: 10.98 (m), y: 0.06 (m)
Time: 14.81 (s), x: 10.96 (m), y: 0.07 (m)
Time: 14.91 (s), x: 10.95 (m), y: 0.08 (m)
Time: 15.02 (s), x: 10.93 (m), y: 0.09 (m)
Time: 15.12 (s), x: 10.91 (m), y: 0.09 (m)
Time: 15.23 (s), x: 10.90 (m), y: 0.09 (m)
Time: 15.33 (s), x: 10.88 (m), y: 0.09 (m)
Time: 15.44 (s), x: 10.86 (m), y: 0.09 (m)
Time: 15.54 (s), x: 10.84 (m), y: 0.08 (m)
Time: 15.64 (s), x: 10.83 (m), y: 0.07 (m)
Time: 15.75 (s), x: 10.81 (m), y: 0.06 (m)
Time: 15.85 (s), x: 10.80 (m), y: 0.05 (m)
Time: 15.96 (s), x: 10.79 (m), y: 0.04 (m)
Time: 16.06 (s), x: 10.78 (m), y: 0.02 (m)
Time: 16.16 (s), x: 10.77 (m), y: 0.00 (m)
Time: 16.27 (s), x: 10.77 (m), y: -0.01 (m)
Time: 16.37 (s), x: 10.76 (m), y: -0.03 (m)
Time: 16.48 (s), x: 10.76 (m), y: -0.05 (m)
Time: 16.58 (s), x: 10.77 (m), y: -0.07 (m)
Time: 16.68 (s), x: 10.77 (m), y: -0.09 (m)
Time: 16.79 (s), x: 10.78 (m), y: -0.10 (m)
Time: 16.89 (s), x: 10.79 (m), y: -0.12 (m)
Time: 16.99 (s), x: 10.80 (m), y: -0.13 (m)
Time: 17.10 (s), x: 10.82 (m), y: -0.14 (m)
Time: 17.20 (s), x: 10.83 (m), y: -0.15 (m)
Time: 17.31 (s), x: 10.85 (m), y: -0.16 (m)
Time: 17.41 (s), x: 10.87 (m), y: -0.16 (m)
Time: 17.52 (s), x: 10.89 (m), y: -0.17 (m)
Time: 17.62 (s), x: 10.90 (m), y: -0.17 (m)
Time: 17.72 (s), x: 10.92 (m), y: -0.17 (m)
Time: 17.83 (s), x: 10.94 (m), y: -0.16 (m)
Time: 17.93 (s), x: 10.96 (m), y: -0.15 (m)
Time: 18.04 (s), x: 10.97 (m), y: -0.14 (m)
Time: 18.14 (s), x: 10.99 (m), y: -0.13 (m)
Time: 18.24 (s), x: 11.00 (m), y: -0.12 (m)
Time: 18.35 (s), x: 11.01 (m), y: -0.10 (m)
Time: 18.45 (s), x: 11.02 (m), y: -0.08 (m)
Time: 18.56 (s), x: 11.02 (m), y: -0.07 (m)
Time: 18.66 (s), x: 11.02 (m), y: -0.05 (m)
Time: 18.77 (s), x: 11.03 (m), y: -0.03 (m)
Time: 18.87 (s), x: 11.02 (m), y: -0.01 (m)
Time: 18.97 (s), x: 11.02 (m), y: 0.00 (m)
Time: 19.08 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.18 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.39 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.70 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 19.91 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.12 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.23 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.33 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.54 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.64 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.75 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.85 (s), x: 11.00 (m), y: 0.03 (m)
Time: 20.95 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.06 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.16 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.27 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.37 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.48 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.58 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.69 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.79 (s), x: 11.00 (m), y: 0.03 (m)
Time: 21.90 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.01 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.11 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.21 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.32 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.42 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.53 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.63 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.74 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.84 (s), x: 11.00 (m), y: 0.03 (m)
Time: 22.95 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.05 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.15 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.26 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.37 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.47 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.58 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.69 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.79 (s), x: 11.00 (m), y: 0.03 (m)
Time: 23.90 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.00 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.11 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.21 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.32 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.42 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.53 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.63 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.73 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.84 (s), x: 11.00 (m), y: 0.03 (m)
Time: 24.94 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.05 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.15 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.25 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.36 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.46 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.57 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.67 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.77 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.88 (s), x: 11.00 (m), y: 0.03 (m)
Time: 25.98 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.40 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 26.92 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.12 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.23 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.33 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.54 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.65 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.75 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.85 (s), x: 11.00 (m), y: 0.03 (m)
Time: 27.96 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.06 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.17 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.27 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.38 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.48 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.58 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.69 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.79 (s), x: 11.00 (m), y: 0.03 (m)
Time: 28.90 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.00 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.10 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.21 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.31 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.42 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.52 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.63 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.73 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.83 (s), x: 11.00 (m), y: 0.03 (m)
Time: 29.94 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.04 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.15 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.25 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.35 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.46 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.56 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.67 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.77 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.87 (s), x: 11.00 (m), y: 0.03 (m)
Time: 30.98 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.39 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 31.91 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.12 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.23 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.33 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.43 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.54 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.64 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.75 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.85 (s), x: 11.00 (m), y: 0.03 (m)
Time: 32.95 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.06 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.16 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.27 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.37 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.48 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.58 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.68 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.79 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.89 (s), x: 11.00 (m), y: 0.03 (m)
Time: 33.99 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.10 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.20 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.31 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.41 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.51 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.62 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.72 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.82 (s), x: 11.00 (m), y: 0.03 (m)
Time: 34.93 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.03 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.14 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.24 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.34 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.45 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.76 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.86 (s), x: 11.00 (m), y: 0.03 (m)
Time: 35.97 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.07 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.18 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.28 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.38 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.49 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.59 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.69 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.80 (s), x: 11.00 (m), y: 0.03 (m)
Time: 36.90 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.00 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.11 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.21 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.32 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.42 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.53 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.63 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.74 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.84 (s), x: 11.00 (m), y: 0.03 (m)
Time: 37.95 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.05 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.16 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.26 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.36 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.47 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.57 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.68 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.78 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.88 (s), x: 11.00 (m), y: 0.03 (m)
Time: 38.99 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.09 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.20 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.30 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.41 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.51 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.61 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.72 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.82 (s), x: 11.00 (m), y: 0.03 (m)
Time: 39.92 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.03 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.13 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.24 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.34 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.65 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.75 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.86 (s), x: 11.00 (m), y: 0.03 (m)
Time: 40.96 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.07 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.17 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.27 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.38 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.48 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.58 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.69 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.79 (s), x: 11.00 (m), y: 0.03 (m)
Time: 41.89 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.00 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.10 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.21 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.31 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.42 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.52 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.63 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.73 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.83 (s), x: 11.00 (m), y: 0.03 (m)
Time: 42.94 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.04 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.14 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.25 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.35 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.46 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.56 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.77 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.87 (s), x: 11.00 (m), y: 0.03 (m)
Time: 43.98 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.39 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 44.81 (s), x: 11.00 (m), y: 0.03 (m)
