🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w243.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_243.world <<<<<<<<<<<<<<<<<<
[WARN] [1749851261.370157, 58.380000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.34 (m)
Time: 4.27 (s), x: -1.52 (m), y: 5.84 (m)
Time: 4.37 (s), x: -1.58 (m), y: 5.94 (m)
Time: 4.48 (s), x: -1.62 (m), y: 6.02 (m)
Time: 4.58 (s), x: -1.68 (m), y: 6.12 (m)
Time: 4.69 (s), x: -1.76 (m), y: 6.24 (m)
Time: 4.79 (s), x: -1.83 (m), y: 6.36 (m)
Time: 4.90 (s), x: -1.90 (m), y: 6.46 (m)
Time: 5.00 (s), x: -1.96 (m), y: 6.55 (m)
Time: 5.10 (s), x: -2.00 (m), y: 6.61 (m)
Time: 5.20 (s), x: -2.02 (m), y: 6.65 (m)
Time: 5.30 (s), x: -2.03 (m), y: 6.66 (m)
Time: 5.41 (s), x: -2.04 (m), y: 6.67 (m)
Time: 5.52 (s), x: -2.04 (m), y: 6.68 (m)
Time: 5.62 (s), x: -2.04 (m), y: 6.69 (m)
Time: 5.72 (s), x: -2.03 (m), y: 6.69 (m)
Time: 5.83 (s), x: -2.02 (m), y: 6.69 (m)
Time: 5.93 (s), x: -1.99 (m), y: 6.70 (m)
Time: 6.04 (s), x: -1.97 (m), y: 6.71 (m)
Time: 6.14 (s), x: -1.97 (m), y: 6.72 (m)
Time: 6.25 (s), x: -1.99 (m), y: 6.73 (m)
Time: 6.35 (s), x: -2.03 (m), y: 6.74 (m)
Time: 6.45 (s), x: -2.09 (m), y: 6.74 (m)
Time: 6.56 (s), x: -2.18 (m), y: 6.74 (m)
Time: 6.66 (s), x: -2.28 (m), y: 6.72 (m)
Time: 6.77 (s), x: -2.40 (m), y: 6.70 (m)
Time: 6.87 (s), x: -2.51 (m), y: 6.67 (m)
Time: 6.97 (s), x: -2.64 (m), y: 6.65 (m)
Time: 7.07 (s), x: -2.76 (m), y: 6.62 (m)
Time: 7.18 (s), x: -2.85 (m), y: 6.61 (m)
Time: 7.28 (s), x: -2.94 (m), y: 6.59 (m)
Time: 7.38 (s), x: -3.02 (m), y: 6.58 (m)
Time: 7.49 (s), x: -3.11 (m), y: 6.57 (m)
Time: 7.59 (s), x: -3.18 (m), y: 6.57 (m)
Time: 7.70 (s), x: -3.25 (m), y: 6.56 (m)
Time: 7.81 (s), x: -3.31 (m), y: 6.55 (m)
Time: 7.91 (s), x: -3.36 (m), y: 6.55 (m)
Time: 8.01 (s), x: -3.40 (m), y: 6.54 (m)
Time: 8.12 (s), x: -3.40 (m), y: 6.54 (m)
Time: 8.22 (s), x: -3.40 (m), y: 6.54 (m)
Time: 8.32 (s), x: -3.37 (m), y: 6.53 (m)
Time: 8.43 (s), x: -3.35 (m), y: 6.52 (m)
Time: 8.53 (s), x: -3.33 (m), y: 6.52 (m)
Time: 8.63 (s), x: -3.33 (m), y: 6.52 (m)
Time: 8.74 (s), x: -3.33 (m), y: 6.52 (m)
Time: 8.84 (s), x: -3.33 (m), y: 6.52 (m)
Time: 8.94 (s), x: -3.33 (m), y: 6.52 (m)
Time: 9.04 (s), x: -3.32 (m), y: 6.52 (m)
Time: 9.15 (s), x: -3.30 (m), y: 6.51 (m)
Time: 9.25 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.35 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.45 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.55 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.66 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.76 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.86 (s), x: -3.29 (m), y: 6.50 (m)
Time: 9.96 (s), x: -3.29 (m), y: 6.50 (m)
Time: 10.07 (s), x: -3.29 (m), y: 6.50 (m)
Time: 10.18 (s), x: -3.29 (m), y: 6.49 (m)
Time: 10.28 (s), x: -3.29 (m), y: 6.48 (m)
Time: 10.38 (s), x: -3.31 (m), y: 6.49 (m)
Time: 10.48 (s), x: -3.33 (m), y: 6.49 (m)
Time: 10.58 (s), x: -3.36 (m), y: 6.51 (m)
Time: 10.69 (s), x: -3.39 (m), y: 6.52 (m)
Time: 10.79 (s), x: -3.43 (m), y: 6.55 (m)
Time: 10.90 (s), x: -3.47 (m), y: 6.60 (m)
Time: 11.01 (s), x: -3.51 (m), y: 6.67 (m)
Time: 11.11 (s), x: -3.56 (m), y: 6.74 (m)
Time: 11.22 (s), x: -3.60 (m), y: 6.78 (m)
Time: 11.32 (s), x: -3.62 (m), y: 6.84 (m)
Time: 11.42 (s), x: -3.63 (m), y: 6.92 (m)
Time: 11.53 (s), x: -3.65 (m), y: 7.01 (m)
Time: 11.63 (s), x: -3.65 (m), y: 7.10 (m)
Time: 11.74 (s), x: -3.65 (m), y: 7.18 (m)
Time: 11.85 (s), x: -3.63 (m), y: 7.28 (m)
Time: 11.95 (s), x: -3.60 (m), y: 7.39 (m)
Time: 12.05 (s), x: -3.56 (m), y: 7.48 (m)
Time: 12.15 (s), x: -3.54 (m), y: 7.55 (m)
Time: 12.26 (s), x: -3.52 (m), y: 7.58 (m)
Time: 12.37 (s), x: -3.52 (m), y: 7.58 (m)
Time: 12.47 (s), x: -3.52 (m), y: 7.57 (m)
Time: 12.58 (s), x: -3.53 (m), y: 7.55 (m)
Time: 12.68 (s), x: -3.55 (m), y: 7.54 (m)
Time: 12.79 (s), x: -3.58 (m), y: 7.53 (m)
Time: 12.89 (s), x: -3.60 (m), y: 7.53 (m)
Time: 12.99 (s), x: -3.61 (m), y: 7.53 (m)
Time: 13.10 (s), x: -3.63 (m), y: 7.53 (m)
Time: 13.20 (s), x: -3.63 (m), y: 7.53 (m)
Time: 13.30 (s), x: -3.65 (m), y: 7.53 (m)
Time: 13.41 (s), x: -3.64 (m), y: 7.54 (m)
Time: 13.51 (s), x: -3.59 (m), y: 7.57 (m)
Time: 13.61 (s), x: -3.54 (m), y: 7.59 (m)
Time: 13.72 (s), x: -3.49 (m), y: 7.62 (m)
Time: 13.82 (s), x: -3.48 (m), y: 7.62 (m)
Time: 13.92 (s), x: -3.48 (m), y: 7.62 (m)
Time: 14.03 (s), x: -3.46 (m), y: 7.63 (m)
Time: 14.13 (s), x: -3.43 (m), y: 7.65 (m)
Time: 14.24 (s), x: -3.39 (m), y: 7.67 (m)
Time: 14.34 (s), x: -3.38 (m), y: 7.67 (m)
Time: 14.45 (s), x: -3.38 (m), y: 7.67 (m)
Time: 14.55 (s), x: -3.36 (m), y: 7.68 (m)
Time: 14.66 (s), x: -3.35 (m), y: 7.68 (m)
Time: 14.77 (s), x: -3.35 (m), y: 7.67 (m)
Time: 14.87 (s), x: -3.34 (m), y: 7.68 (m)
Time: 14.97 (s), x: -3.33 (m), y: 7.67 (m)
Time: 15.07 (s), x: -3.32 (m), y: 7.65 (m)
Time: 15.18 (s), x: -3.30 (m), y: 7.63 (m)
Time: 15.28 (s), x: -3.28 (m), y: 7.61 (m)
Time: 15.39 (s), x: -3.26 (m), y: 7.59 (m)
Time: 15.49 (s), x: -3.25 (m), y: 7.59 (m)
Time: 15.59 (s), x: -3.26 (m), y: 7.60 (m)
Time: 15.70 (s), x: -3.26 (m), y: 7.62 (m)
Time: 15.81 (s), x: -3.27 (m), y: 7.69 (m)
Time: 15.91 (s), x: -3.29 (m), y: 7.78 (m)
Time: 16.02 (s), x: -3.30 (m), y: 7.87 (m)
Time: 16.12 (s), x: -3.31 (m), y: 7.94 (m)
Time: 16.22 (s), x: -3.31 (m), y: 7.97 (m)
Time: 16.32 (s), x: -3.30 (m), y: 7.98 (m)
Time: 16.43 (s), x: -3.30 (m), y: 7.97 (m)
Time: 16.54 (s), x: -3.30 (m), y: 7.97 (m)
Time: 16.64 (s), x: -3.31 (m), y: 7.96 (m)
Time: 16.74 (s), x: -3.32 (m), y: 7.95 (m)
Time: 16.85 (s), x: -3.33 (m), y: 7.95 (m)
Time: 16.95 (s), x: -3.33 (m), y: 7.98 (m)
Time: 17.05 (s), x: -3.32 (m), y: 8.04 (m)
Time: 17.16 (s), x: -3.31 (m), y: 8.11 (m)
Time: 17.26 (s), x: -3.30 (m), y: 8.17 (m)
Time: 17.36 (s), x: -3.29 (m), y: 8.24 (m)
Time: 17.47 (s), x: -3.27 (m), y: 8.30 (m)
Time: 17.57 (s), x: -3.25 (m), y: 8.37 (m)
Time: 17.67 (s), x: -3.22 (m), y: 8.42 (m)
Time: 17.78 (s), x: -3.18 (m), y: 8.46 (m)
Time: 17.88 (s), x: -3.14 (m), y: 8.50 (m)
Time: 17.98 (s), x: -3.11 (m), y: 8.54 (m)
Time: 18.09 (s), x: -3.07 (m), y: 8.58 (m)
Time: 18.19 (s), x: -3.01 (m), y: 8.64 (m)
Time: 18.30 (s), x: -2.91 (m), y: 8.72 (m)
Time: 18.40 (s), x: -2.82 (m), y: 8.79 (m)
Time: 18.50 (s), x: -2.74 (m), y: 8.85 (m)
Time: 18.60 (s), x: -2.67 (m), y: 8.92 (m)
Time: 18.71 (s), x: -2.59 (m), y: 9.01 (m)
Time: 18.81 (s), x: -2.52 (m), y: 9.11 (m)
Time: 18.91 (s), x: -2.46 (m), y: 9.23 (m)
Time: 19.02 (s), x: -2.41 (m), y: 9.38 (m)
Time: 19.12 (s), x: -2.39 (m), y: 9.51 (m)
Time: 19.23 (s), x: -2.41 (m), y: 9.64 (m)
Time: 19.33 (s), x: -2.44 (m), y: 9.79 (m)
Time: 19.43 (s), x: -2.47 (m), y: 9.93 (m)
Time: 19.54 (s), x: -2.51 (m), y: 10.06 (m)
Time: 19.65 (s), x: -2.54 (m), y: 10.21 (m)
Time: 19.75 (s), x: -2.58 (m), y: 10.36 (m)
Time: 19.86 (s), x: -2.60 (m), y: 10.52 (m)
Time: 19.96 (s), x: -2.61 (m), y: 10.67 (m)
Time: 20.07 (s), x: -2.62 (m), y: 10.83 (m)
Time: 20.18 (s), x: -2.63 (m), y: 10.99 (m)
Time: 20.28 (s), x: -2.64 (m), y: 11.15 (m)
Time: 20.39 (s), x: -2.64 (m), y: 11.31 (m)
Time: 20.49 (s), x: -2.64 (m), y: 11.46 (m)
Time: 20.60 (s), x: -2.66 (m), y: 11.62 (m)
Time: 20.71 (s), x: -2.69 (m), y: 11.78 (m)
Time: 20.82 (s), x: -2.73 (m), y: 11.93 (m)
Time: 20.92 (s), x: -2.77 (m), y: 12.09 (m)
Time: 21.02 (s), x: -2.80 (m), y: 12.24 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation succeeded with time 21.0250 (s)
Navigation metric: 0.3266
