🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w69.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_69.world <<<<<<<<<<<<<<<<<<
[WARN] [1749863080.018393, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749863085.160918, 0.143000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:47275]
Time: 0.01 (s), x: -1.97 (m), y: 3.10 (m)
Time: 0.11 (s), x: -1.93 (m), y: 3.11 (m)
Time: 0.21 (s), x: -1.89 (m), y: 3.12 (m)
Time: 3.77 (s), x: -1.83 (m), y: 3.20 (m)
Time: 3.87 (s), x: -1.82 (m), y: 3.20 (m)
Time: 3.98 (s), x: -1.82 (m), y: 3.19 (m)
Time: 4.08 (s), x: -1.82 (m), y: 3.19 (m)
Time: 4.18 (s), x: -1.83 (m), y: 3.18 (m)
Time: 4.28 (s), x: -1.84 (m), y: 3.17 (m)
Time: 4.39 (s), x: -1.85 (m), y: 3.16 (m)
Time: 4.49 (s), x: -1.86 (m), y: 3.15 (m)
Time: 4.60 (s), x: -1.87 (m), y: 3.14 (m)
Time: 4.71 (s), x: -1.88 (m), y: 3.13 (m)
Time: 4.81 (s), x: -1.88 (m), y: 3.12 (m)
Time: 4.91 (s), x: -1.88 (m), y: 3.11 (m)
Time: 5.02 (s), x: -1.87 (m), y: 3.10 (m)
Time: 5.12 (s), x: -1.87 (m), y: 3.10 (m)
Time: 5.23 (s), x: -1.88 (m), y: 3.12 (m)
Time: 5.33 (s), x: -1.89 (m), y: 3.14 (m)
Time: 5.43 (s), x: -1.88 (m), y: 3.16 (m)
Time: 5.54 (s), x: -1.87 (m), y: 3.18 (m)
Time: 5.64 (s), x: -1.87 (m), y: 3.20 (m)
Time: 5.75 (s), x: -1.88 (m), y: 3.22 (m)
Time: 5.85 (s), x: -1.90 (m), y: 3.24 (m)
Time: 5.95 (s), x: -1.92 (m), y: 3.26 (m)
Time: 6.05 (s), x: -1.93 (m), y: 3.27 (m)
Time: 6.15 (s), x: -1.91 (m), y: 3.29 (m)
Time: 6.26 (s), x: -1.90 (m), y: 3.30 (m)
Time: 6.36 (s), x: -1.91 (m), y: 3.30 (m)
Time: 6.46 (s), x: -1.92 (m), y: 3.28 (m)
Time: 6.57 (s), x: -1.93 (m), y: 3.26 (m)
Time: 6.67 (s), x: -1.92 (m), y: 3.24 (m)
Time: 6.77 (s), x: -1.90 (m), y: 3.23 (m)
Time: 6.87 (s), x: -1.88 (m), y: 3.21 (m)
Time: 6.97 (s), x: -1.88 (m), y: 3.19 (m)
Time: 7.08 (s), x: -1.89 (m), y: 3.17 (m)
Time: 7.19 (s), x: -1.90 (m), y: 3.15 (m)
Time: 7.29 (s), x: -1.92 (m), y: 3.12 (m)
Time: 7.39 (s), x: -1.93 (m), y: 3.10 (m)
Time: 7.50 (s), x: -1.93 (m), y: 3.08 (m)
Time: 7.61 (s), x: -1.92 (m), y: 3.08 (m)
Time: 7.71 (s), x: -1.91 (m), y: 3.07 (m)
Time: 7.81 (s), x: -1.92 (m), y: 3.09 (m)
Time: 7.91 (s), x: -1.92 (m), y: 3.10 (m)
Time: 8.01 (s), x: -1.91 (m), y: 3.12 (m)
Time: 8.12 (s), x: -1.90 (m), y: 3.14 (m)
Time: 8.22 (s), x: -1.91 (m), y: 3.15 (m)
Time: 8.32 (s), x: -1.92 (m), y: 3.16 (m)
Time: 8.42 (s), x: -1.94 (m), y: 3.17 (m)
Time: 8.53 (s), x: -1.95 (m), y: 3.19 (m)
Time: 8.63 (s), x: -1.97 (m), y: 3.21 (m)
Time: 8.74 (s), x: -1.99 (m), y: 3.21 (m)
Time: 8.85 (s), x: -2.00 (m), y: 3.20 (m)
Time: 8.95 (s), x: -2.00 (m), y: 3.19 (m)
Time: 9.05 (s), x: -1.99 (m), y: 3.20 (m)
Time: 9.16 (s), x: -1.99 (m), y: 3.23 (m)
Time: 9.26 (s), x: -1.97 (m), y: 3.25 (m)
Time: 9.36 (s), x: -1.97 (m), y: 3.25 (m)
Time: 9.46 (s), x: -1.95 (m), y: 3.25 (m)
Time: 9.57 (s), x: -1.94 (m), y: 3.24 (m)
Time: 9.67 (s), x: -1.93 (m), y: 3.23 (m)
Time: 9.77 (s), x: -1.93 (m), y: 3.22 (m)
Time: 9.87 (s), x: -1.94 (m), y: 3.19 (m)
Time: 9.97 (s), x: -1.94 (m), y: 3.17 (m)
Time: 10.08 (s), x: -1.95 (m), y: 3.15 (m)
Time: 10.19 (s), x: -1.97 (m), y: 3.15 (m)
Time: 10.29 (s), x: -2.00 (m), y: 3.15 (m)
Time: 10.39 (s), x: -2.03 (m), y: 3.15 (m)
Time: 10.50 (s), x: -2.06 (m), y: 3.15 (m)
Time: 10.61 (s), x: -2.06 (m), y: 3.17 (m)
Time: 10.71 (s), x: -2.07 (m), y: 3.20 (m)
Time: 10.81 (s), x: -2.08 (m), y: 3.23 (m)
Time: 10.92 (s), x: -2.08 (m), y: 3.26 (m)
Time: 11.02 (s), x: -2.06 (m), y: 3.27 (m)
Time: 11.12 (s), x: -2.04 (m), y: 3.29 (m)
Time: 11.22 (s), x: -2.01 (m), y: 3.30 (m)
Time: 11.33 (s), x: -1.98 (m), y: 3.31 (m)
Time: 11.43 (s), x: -1.96 (m), y: 3.30 (m)
Time: 11.54 (s), x: -1.94 (m), y: 3.28 (m)
Time: 11.64 (s), x: -1.92 (m), y: 3.25 (m)
Time: 11.75 (s), x: -1.90 (m), y: 3.23 (m)
Time: 11.85 (s), x: -1.90 (m), y: 3.20 (m)
Time: 11.96 (s), x: -1.90 (m), y: 3.18 (m)
Time: 12.07 (s), x: -1.90 (m), y: 3.17 (m)
Time: 12.17 (s), x: -1.91 (m), y: 3.17 (m)
Time: 12.27 (s), x: -1.91 (m), y: 3.17 (m)
Time: 12.37 (s), x: -1.92 (m), y: 3.16 (m)
Time: 12.48 (s), x: -1.92 (m), y: 3.15 (m)
Time: 12.58 (s), x: -1.93 (m), y: 3.15 (m)
Time: 12.68 (s), x: -1.93 (m), y: 3.14 (m)
Time: 12.79 (s), x: -1.93 (m), y: 3.14 (m)
Time: 12.89 (s), x: -1.93 (m), y: 3.13 (m)
Time: 13.00 (s), x: -1.93 (m), y: 3.13 (m)
Time: 13.10 (s), x: -1.96 (m), y: 3.15 (m)
Time: 13.21 (s), x: -1.97 (m), y: 3.17 (m)
Time: 13.32 (s), x: -1.97 (m), y: 3.19 (m)
Time: 13.42 (s), x: -1.97 (m), y: 3.22 (m)
Time: 13.52 (s), x: -1.97 (m), y: 3.24 (m)
Time: 13.62 (s), x: -1.98 (m), y: 3.27 (m)
Time: 13.73 (s), x: -1.99 (m), y: 3.29 (m)
Time: 13.83 (s), x: -2.01 (m), y: 3.32 (m)
Time: 13.93 (s), x: -2.02 (m), y: 3.33 (m)
Time: 14.03 (s), x: -2.05 (m), y: 3.33 (m)
Time: 14.13 (s), x: -2.07 (m), y: 3.33 (m)
Time: 14.24 (s), x: -2.08 (m), y: 3.32 (m)
Time: 14.34 (s), x: -2.08 (m), y: 3.32 (m)
Time: 14.45 (s), x: -2.07 (m), y: 3.31 (m)
Time: 14.56 (s), x: -2.05 (m), y: 3.31 (m)
Time: 14.66 (s), x: -2.03 (m), y: 3.32 (m)
Time: 14.76 (s), x: -2.02 (m), y: 3.31 (m)
Time: 14.87 (s), x: -2.00 (m), y: 3.29 (m)
Time: 14.97 (s), x: -1.98 (m), y: 3.27 (m)
Time: 15.07 (s), x: -1.98 (m), y: 3.25 (m)
Time: 15.17 (s), x: -2.00 (m), y: 3.23 (m)
Time: 15.28 (s), x: -2.02 (m), y: 3.20 (m)
Time: 15.38 (s), x: -2.04 (m), y: 3.18 (m)
Time: 15.48 (s), x: -2.06 (m), y: 3.18 (m)
Time: 15.58 (s), x: -2.09 (m), y: 3.19 (m)
Time: 15.68 (s), x: -2.12 (m), y: 3.21 (m)
Time: 15.79 (s), x: -2.13 (m), y: 3.23 (m)
Time: 15.89 (s), x: -2.13 (m), y: 3.26 (m)
Time: 15.99 (s), x: -2.12 (m), y: 3.29 (m)
Time: 16.10 (s), x: -2.11 (m), y: 3.32 (m)
Time: 16.20 (s), x: -2.09 (m), y: 3.33 (m)
Time: 16.30 (s), x: -2.06 (m), y: 3.34 (m)
Time: 16.41 (s), x: -2.03 (m), y: 3.33 (m)
Time: 16.52 (s), x: -2.00 (m), y: 3.32 (m)
Time: 16.62 (s), x: -1.99 (m), y: 3.29 (m)
Time: 16.72 (s), x: -1.98 (m), y: 3.26 (m)
Time: 16.82 (s), x: -1.98 (m), y: 3.23 (m)
Time: 16.93 (s), x: -2.00 (m), y: 3.21 (m)
Time: 17.03 (s), x: -2.02 (m), y: 3.20 (m)
Time: 17.13 (s), x: -2.05 (m), y: 3.18 (m)
Time: 17.23 (s), x: -2.08 (m), y: 3.18 (m)
Time: 17.33 (s), x: -2.10 (m), y: 3.20 (m)
Time: 17.44 (s), x: -2.12 (m), y: 3.22 (m)
Time: 17.54 (s), x: -2.14 (m), y: 3.26 (m)
Time: 17.65 (s), x: -2.14 (m), y: 3.28 (m)
Time: 17.75 (s), x: -2.12 (m), y: 3.30 (m)
Time: 17.86 (s), x: -2.09 (m), y: 3.33 (m)
Time: 17.96 (s), x: -2.06 (m), y: 3.34 (m)
Time: 18.06 (s), x: -2.04 (m), y: 3.34 (m)
Time: 18.17 (s), x: -2.01 (m), y: 3.32 (m)
Time: 18.27 (s), x: -1.99 (m), y: 3.30 (m)
Time: 18.38 (s), x: -1.97 (m), y: 3.27 (m)
Time: 18.48 (s), x: -1.97 (m), y: 3.25 (m)
Time: 18.59 (s), x: -1.99 (m), y: 3.21 (m)
Time: 18.69 (s), x: -2.01 (m), y: 3.19 (m)
Time: 18.79 (s), x: -2.03 (m), y: 3.18 (m)
Time: 18.89 (s), x: -2.05 (m), y: 3.18 (m)
Time: 18.99 (s), x: -2.09 (m), y: 3.19 (m)
Time: 19.10 (s), x: -2.12 (m), y: 3.20 (m)
Time: 19.20 (s), x: -2.13 (m), y: 3.22 (m)
Time: 19.30 (s), x: -2.15 (m), y: 3.24 (m)
Time: 19.40 (s), x: -2.18 (m), y: 3.24 (m)
Time: 19.50 (s), x: -2.21 (m), y: 3.23 (m)
Time: 19.60 (s), x: -2.23 (m), y: 3.22 (m)
Time: 19.71 (s), x: -2.26 (m), y: 3.20 (m)
Time: 19.81 (s), x: -2.29 (m), y: 3.17 (m)
Time: 19.91 (s), x: -2.31 (m), y: 3.15 (m)
Time: 20.02 (s), x: -2.33 (m), y: 3.13 (m)
Time: 20.12 (s), x: -2.35 (m), y: 3.12 (m)
Time: 20.22 (s), x: -2.36 (m), y: 3.11 (m)
Time: 20.33 (s), x: -2.36 (m), y: 3.11 (m)
Time: 20.43 (s), x: -2.36 (m), y: 3.11 (m)
Time: 20.53 (s), x: -2.37 (m), y: 3.09 (m)
Time: 20.63 (s), x: -2.37 (m), y: 3.02 (m)
Time: 20.73 (s), x: -2.35 (m), y: 2.91 (m)
Time: 20.84 (s), x: -2.33 (m), y: 2.77 (m)
Time: 20.94 (s), x: -2.30 (m), y: 2.62 (m)
Time: 21.04 (s), x: -2.27 (m), y: 2.44 (m)
Time: 21.14 (s), x: -2.23 (m), y: 2.28 (m)
Time: 21.25 (s), x: -2.19 (m), y: 2.14 (m)
Time: 21.35 (s), x: -2.16 (m), y: 2.03 (m)
Time: 21.45 (s), x: -2.14 (m), y: 1.96 (m)
Time: 21.55 (s), x: -2.12 (m), y: 1.88 (m)
Time: 21.66 (s), x: -2.11 (m), y: 1.81 (m)
Time: 21.76 (s), x: -2.09 (m), y: 1.76 (m)
Time: 21.86 (s), x: -2.06 (m), y: 1.73 (m)
Time: 21.97 (s), x: -2.04 (m), y: 1.69 (m)
Time: 22.07 (s), x: -2.03 (m), y: 1.65 (m)
Time: 22.17 (s), x: -2.00 (m), y: 1.62 (m)
Time: 22.27 (s), x: -1.97 (m), y: 1.59 (m)
Time: 22.37 (s), x: -1.97 (m), y: 1.55 (m)
Time: 22.48 (s), x: -1.98 (m), y: 1.51 (m)
Time: 22.58 (s), x: -1.99 (m), y: 1.47 (m)
Time: 22.68 (s), x: -2.01 (m), y: 1.44 (m)
Time: 22.79 (s), x: -2.04 (m), y: 1.43 (m)
Time: 22.89 (s), x: -2.07 (m), y: 1.43 (m)
Time: 22.99 (s), x: -2.11 (m), y: 1.43 (m)
Time: 23.09 (s), x: -2.14 (m), y: 1.43 (m)
Time: 23.20 (s), x: -2.17 (m), y: 1.44 (m)
Time: 23.30 (s), x: -2.19 (m), y: 1.41 (m)
Time: 23.40 (s), x: -2.22 (m), y: 1.38 (m)
Time: 23.50 (s), x: -2.23 (m), y: 1.36 (m)
Time: 23.61 (s), x: -2.24 (m), y: 1.36 (m)
Time: 23.71 (s), x: -2.24 (m), y: 1.36 (m)
Time: 23.81 (s), x: -2.23 (m), y: 1.36 (m)
Time: 23.91 (s), x: -2.22 (m), y: 1.35 (m)
Time: 24.01 (s), x: -2.22 (m), y: 1.35 (m)
Time: 24.11 (s), x: -2.21 (m), y: 1.35 (m)
Time: 24.21 (s), x: -2.21 (m), y: 1.36 (m)
Time: 24.31 (s), x: -2.20 (m), y: 1.37 (m)
Time: 24.41 (s), x: -2.19 (m), y: 1.39 (m)
Time: 24.51 (s), x: -2.18 (m), y: 1.40 (m)
Time: 24.62 (s), x: -2.18 (m), y: 1.42 (m)
Time: 24.72 (s), x: -2.19 (m), y: 1.42 (m)
Time: 24.82 (s), x: -2.20 (m), y: 1.43 (m)
Time: 24.92 (s), x: -2.21 (m), y: 1.45 (m)
Time: 25.02 (s), x: -2.23 (m), y: 1.47 (m)
Time: 25.12 (s), x: -2.24 (m), y: 1.49 (m)
Time: 25.22 (s), x: -2.26 (m), y: 1.49 (m)
Time: 25.32 (s), x: -2.27 (m), y: 1.48 (m)
Time: 25.42 (s), x: -2.29 (m), y: 1.47 (m)
Time: 25.52 (s), x: -2.32 (m), y: 1.47 (m)
Time: 25.62 (s), x: -2.34 (m), y: 1.46 (m)
Time: 25.72 (s), x: -2.36 (m), y: 1.44 (m)
Time: 25.83 (s), x: -2.36 (m), y: 1.43 (m)
Time: 25.93 (s), x: -2.36 (m), y: 1.41 (m)
Time: 26.03 (s), x: -2.36 (m), y: 1.38 (m)
Time: 26.13 (s), x: -2.35 (m), y: 1.35 (m)
Time: 26.23 (s), x: -2.35 (m), y: 1.32 (m)
Time: 26.33 (s), x: -2.33 (m), y: 1.31 (m)
Time: 26.43 (s), x: -2.31 (m), y: 1.30 (m)
Time: 26.53 (s), x: -2.29 (m), y: 1.30 (m)
Time: 26.63 (s), x: -2.26 (m), y: 1.30 (m)
Time: 26.73 (s), x: -2.23 (m), y: 1.29 (m)
Time: 26.83 (s), x: -2.20 (m), y: 1.30 (m)
Time: 26.93 (s), x: -2.19 (m), y: 1.31 (m)
Time: 27.03 (s), x: -2.18 (m), y: 1.34 (m)
Time: 27.14 (s), x: -2.17 (m), y: 1.37 (m)
Time: 27.24 (s), x: -2.15 (m), y: 1.39 (m)
Time: 27.35 (s), x: -2.15 (m), y: 1.42 (m)
Time: 27.45 (s), x: -2.16 (m), y: 1.44 (m)
Time: 27.56 (s), x: -2.16 (m), y: 1.45 (m)
Time: 27.66 (s), x: -2.14 (m), y: 1.46 (m)
Time: 27.77 (s), x: -2.11 (m), y: 1.46 (m)
Time: 27.87 (s), x: -2.09 (m), y: 1.46 (m)
Time: 27.97 (s), x: -2.08 (m), y: 1.46 (m)
Time: 28.07 (s), x: -2.06 (m), y: 1.44 (m)
Time: 28.17 (s), x: -2.05 (m), y: 1.44 (m)
Time: 28.28 (s), x: -2.05 (m), y: 1.44 (m)
Time: 28.38 (s), x: -2.06 (m), y: 1.45 (m)
Time: 28.49 (s), x: -2.03 (m), y: 1.49 (m)
Time: 28.59 (s), x: -1.99 (m), y: 1.56 (m)
Time: 28.70 (s), x: -1.93 (m), y: 1.67 (m)
Time: 28.80 (s), x: -1.85 (m), y: 1.79 (m)
Time: 28.90 (s), x: -1.78 (m), y: 1.92 (m)
Time: 29.00 (s), x: -1.71 (m), y: 2.04 (m)
Time: 29.10 (s), x: -1.64 (m), y: 2.16 (m)
Time: 29.21 (s), x: -1.59 (m), y: 2.28 (m)
Time: 29.31 (s), x: -1.53 (m), y: 2.39 (m)
Time: 29.42 (s), x: -1.48 (m), y: 2.51 (m)
Time: 29.52 (s), x: -1.44 (m), y: 2.62 (m)
Time: 29.62 (s), x: -1.40 (m), y: 2.73 (m)
Time: 29.73 (s), x: -1.36 (m), y: 2.84 (m)
Time: 29.83 (s), x: -1.33 (m), y: 2.94 (m)
Time: 29.94 (s), x: -1.31 (m), y: 3.00 (m)
Time: 30.04 (s), x: -1.28 (m), y: 3.07 (m)
Time: 30.14 (s), x: -1.26 (m), y: 3.13 (m)
Time: 30.25 (s), x: -1.23 (m), y: 3.18 (m)
Time: 30.35 (s), x: -1.20 (m), y: 3.21 (m)
Time: 30.46 (s), x: -1.17 (m), y: 3.24 (m)
Time: 30.56 (s), x: -1.15 (m), y: 3.27 (m)
Time: 30.66 (s), x: -1.14 (m), y: 3.31 (m)
Time: 30.76 (s), x: -1.14 (m), y: 3.34 (m)
Time: 30.86 (s), x: -1.15 (m), y: 3.38 (m)
Time: 30.96 (s), x: -1.15 (m), y: 3.39 (m)
Time: 31.07 (s), x: -1.15 (m), y: 3.39 (m)
Time: 31.18 (s), x: -1.14 (m), y: 3.39 (m)
Time: 31.28 (s), x: -1.14 (m), y: 3.38 (m)
Time: 31.38 (s), x: -1.14 (m), y: 3.37 (m)
Time: 31.48 (s), x: -1.14 (m), y: 3.37 (m)
Time: 31.58 (s), x: -1.14 (m), y: 3.36 (m)
Time: 31.68 (s), x: -1.14 (m), y: 3.34 (m)
Time: 31.78 (s), x: -1.14 (m), y: 3.32 (m)
Time: 31.89 (s), x: -1.15 (m), y: 3.30 (m)
Time: 31.99 (s), x: -1.16 (m), y: 3.28 (m)
Time: 32.10 (s), x: -1.17 (m), y: 3.27 (m)
Time: 32.20 (s), x: -1.19 (m), y: 3.25 (m)
Time: 32.30 (s), x: -1.21 (m), y: 3.24 (m)
Time: 32.40 (s), x: -1.23 (m), y: 3.23 (m)
Time: 32.51 (s), x: -1.25 (m), y: 3.23 (m)
Time: 32.61 (s), x: -1.27 (m), y: 3.23 (m)
Time: 32.72 (s), x: -1.29 (m), y: 3.23 (m)
Time: 32.82 (s), x: -1.31 (m), y: 3.24 (m)
Time: 32.92 (s), x: -1.33 (m), y: 3.24 (m)
Time: 33.02 (s), x: -1.35 (m), y: 3.26 (m)
Time: 33.12 (s), x: -1.37 (m), y: 3.27 (m)
Time: 33.22 (s), x: -1.38 (m), y: 3.29 (m)
Time: 33.32 (s), x: -1.39 (m), y: 3.31 (m)
Time: 33.43 (s), x: -1.40 (m), y: 3.33 (m)
Time: 33.53 (s), x: -1.40 (m), y: 3.35 (m)
Time: 33.64 (s), x: -1.40 (m), y: 3.38 (m)
Time: 33.74 (s), x: -1.39 (m), y: 3.40 (m)
Time: 33.84 (s), x: -1.39 (m), y: 3.43 (m)
Time: 33.94 (s), x: -1.38 (m), y: 3.46 (m)
Time: 34.04 (s), x: -1.36 (m), y: 3.49 (m)
Time: 34.14 (s), x: -1.35 (m), y: 3.50 (m)
Time: 34.24 (s), x: -1.34 (m), y: 3.51 (m)
Time: 34.34 (s), x: -1.33 (m), y: 3.50 (m)
Time: 34.45 (s), x: -1.34 (m), y: 3.49 (m)
Time: 34.56 (s), x: -1.34 (m), y: 3.49 (m)
Time: 34.66 (s), x: -1.36 (m), y: 3.48 (m)
Time: 34.76 (s), x: -1.37 (m), y: 3.49 (m)
Time: 34.86 (s), x: -1.38 (m), y: 3.51 (m)
Time: 34.96 (s), x: -1.39 (m), y: 3.52 (m)
Time: 35.06 (s), x: -1.39 (m), y: 3.54 (m)
Time: 35.16 (s), x: -1.39 (m), y: 3.54 (m)
Time: 35.27 (s), x: -1.39 (m), y: 3.53 (m)
Time: 35.37 (s), x: -1.40 (m), y: 3.52 (m)
Time: 35.47 (s), x: -1.40 (m), y: 3.50 (m)
Time: 35.58 (s), x: -1.39 (m), y: 3.48 (m)
Time: 35.68 (s), x: -1.39 (m), y: 3.45 (m)
Time: 35.78 (s), x: -1.38 (m), y: 3.44 (m)
Time: 35.89 (s), x: -1.38 (m), y: 3.43 (m)
Time: 35.99 (s), x: -1.38 (m), y: 3.43 (m)
Time: 36.10 (s), x: -1.38 (m), y: 3.44 (m)
Time: 36.20 (s), x: -1.38 (m), y: 3.44 (m)
Time: 36.30 (s), x: -1.39 (m), y: 3.44 (m)
Time: 36.40 (s), x: -1.40 (m), y: 3.44 (m)
Time: 36.50 (s), x: -1.41 (m), y: 3.43 (m)
Time: 36.60 (s), x: -1.41 (m), y: 3.42 (m)
Time: 36.70 (s), x: -1.40 (m), y: 3.41 (m)
Time: 36.81 (s), x: -1.39 (m), y: 3.40 (m)
Time: 36.91 (s), x: -1.37 (m), y: 3.40 (m)
Time: 37.02 (s), x: -1.36 (m), y: 3.41 (m)
Time: 37.12 (s), x: -1.35 (m), y: 3.42 (m)
Time: 37.23 (s), x: -1.35 (m), y: 3.44 (m)
Time: 37.33 (s), x: -1.37 (m), y: 3.45 (m)
Time: 37.43 (s), x: -1.38 (m), y: 3.46 (m)
Time: 37.54 (s), x: -1.40 (m), y: 3.46 (m)
Time: 37.64 (s), x: -1.41 (m), y: 3.44 (m)
Time: 37.74 (s), x: -1.42 (m), y: 3.43 (m)
Time: 37.84 (s), x: -1.41 (m), y: 3.41 (m)
Time: 37.94 (s), x: -1.40 (m), y: 3.39 (m)
Time: 38.04 (s), x: -1.38 (m), y: 3.39 (m)
Time: 38.14 (s), x: -1.36 (m), y: 3.40 (m)
Time: 38.24 (s), x: -1.35 (m), y: 3.41 (m)
Time: 38.34 (s), x: -1.35 (m), y: 3.43 (m)
Time: 38.44 (s), x: -1.35 (m), y: 3.45 (m)
Time: 38.54 (s), x: -1.37 (m), y: 3.46 (m)
Time: 38.64 (s), x: -1.39 (m), y: 3.46 (m)
Time: 38.74 (s), x: -1.41 (m), y: 3.46 (m)
Time: 38.84 (s), x: -1.42 (m), y: 3.44 (m)
Time: 38.94 (s), x: -1.42 (m), y: 3.42 (m)
Time: 39.04 (s), x: -1.41 (m), y: 3.40 (m)
Time: 39.15 (s), x: -1.39 (m), y: 3.39 (m)
Time: 39.25 (s), x: -1.37 (m), y: 3.39 (m)
Time: 39.35 (s), x: -1.36 (m), y: 3.40 (m)
Time: 39.45 (s), x: -1.35 (m), y: 3.42 (m)
Time: 39.55 (s), x: -1.35 (m), y: 3.44 (m)
Time: 39.65 (s), x: -1.36 (m), y: 3.46 (m)
Time: 39.75 (s), x: -1.38 (m), y: 3.46 (m)
Time: 39.85 (s), x: -1.40 (m), y: 3.46 (m)
Time: 39.95 (s), x: -1.41 (m), y: 3.45 (m)
Time: 40.05 (s), x: -1.42 (m), y: 3.43 (m)
Time: 40.16 (s), x: -1.42 (m), y: 3.41 (m)
Time: 40.26 (s), x: -1.40 (m), y: 3.39 (m)
Time: 40.36 (s), x: -1.38 (m), y: 3.39 (m)
Time: 40.46 (s), x: -1.37 (m), y: 3.39 (m)
Time: 40.56 (s), x: -1.35 (m), y: 3.40 (m)
Time: 40.66 (s), x: -1.35 (m), y: 3.42 (m)
Time: 40.77 (s), x: -1.36 (m), y: 3.44 (m)
Time: 40.87 (s), x: -1.37 (m), y: 3.46 (m)
Time: 40.97 (s), x: -1.39 (m), y: 3.46 (m)
Time: 41.08 (s), x: -1.41 (m), y: 3.45 (m)
Time: 41.18 (s), x: -1.42 (m), y: 3.43 (m)
Time: 41.28 (s), x: -1.42 (m), y: 3.41 (m)
Time: 41.38 (s), x: -1.41 (m), y: 3.40 (m)
Time: 41.48 (s), x: -1.39 (m), y: 3.39 (m)
Time: 41.59 (s), x: -1.37 (m), y: 3.39 (m)
Time: 41.69 (s), x: -1.35 (m), y: 3.40 (m)
Time: 41.80 (s), x: -1.35 (m), y: 3.42 (m)
Time: 41.90 (s), x: -1.35 (m), y: 3.44 (m)
Time: 42.00 (s), x: -1.36 (m), y: 3.45 (m)
Time: 42.11 (s), x: -1.38 (m), y: 3.46 (m)
Time: 42.21 (s), x: -1.40 (m), y: 3.46 (m)
Time: 42.31 (s), x: -1.42 (m), y: 3.44 (m)
Time: 42.41 (s), x: -1.42 (m), y: 3.42 (m)
Time: 42.51 (s), x: -1.42 (m), y: 3.40 (m)
Time: 42.62 (s), x: -1.40 (m), y: 3.39 (m)
Time: 42.72 (s), x: -1.38 (m), y: 3.38 (m)
Time: 42.82 (s), x: -1.36 (m), y: 3.39 (m)
Time: 42.93 (s), x: -1.35 (m), y: 3.41 (m)
