🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.95 (m), y: 0.09 (m)
Time: 0.11 (s), x: 10.93 (m), y: 0.10 (m)
Time: 0.22 (s), x: 10.92 (m), y: 0.11 (m)
Time: 11.05 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.15 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.25 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.35 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.46 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.56 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.66 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.76 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.86 (s), x: 11.00 (m), y: 0.02 (m)
Time: 11.97 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.07 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.17 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.27 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.38 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.48 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.58 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.68 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.78 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.89 (s), x: 11.00 (m), y: 0.02 (m)
Time: 12.99 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.09 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.19 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.30 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.40 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.50 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.60 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.70 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.81 (s), x: 11.00 (m), y: 0.02 (m)
Time: 13.91 (s), x: 11.00 (m), y: 0.02 (m)
Time: 14.01 (s), x: 11.00 (m), y: 0.02 (m)
Time: 14.11 (s), x: 11.00 (m), y: 0.02 (m)
Time: 14.22 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.32 (s), x: 11.00 (m), y: 0.03 (m)
Time: 14.42 (s), x: 11.00 (m), y: 0.04 (m)
Time: 14.52 (s), x: 11.00 (m), y: 0.04 (m)
Time: 14.62 (s), x: 10.99 (m), y: 0.05 (m)
Time: 14.73 (s), x: 10.98 (m), y: 0.06 (m)
Time: 14.83 (s), x: 10.97 (m), y: 0.07 (m)
Time: 14.93 (s), x: 10.95 (m), y: 0.08 (m)
Time: 15.03 (s), x: 10.93 (m), y: 0.09 (m)
Time: 15.14 (s), x: 10.92 (m), y: 0.09 (m)
Time: 15.24 (s), x: 10.90 (m), y: 0.09 (m)
Time: 15.34 (s), x: 10.88 (m), y: 0.09 (m)
Time: 15.44 (s), x: 10.86 (m), y: 0.09 (m)
Time: 15.54 (s), x: 10.85 (m), y: 0.08 (m)
Time: 15.65 (s), x: 10.83 (m), y: 0.08 (m)
Time: 15.75 (s), x: 10.82 (m), y: 0.07 (m)
Time: 15.85 (s), x: 10.80 (m), y: 0.05 (m)
Time: 15.95 (s), x: 10.79 (m), y: 0.04 (m)
Time: 16.06 (s), x: 10.78 (m), y: 0.02 (m)
Time: 16.16 (s), x: 10.77 (m), y: 0.01 (m)
Time: 16.26 (s), x: 10.77 (m), y: -0.01 (m)
Time: 16.36 (s), x: 10.77 (m), y: -0.03 (m)
Time: 16.46 (s), x: 10.76 (m), y: -0.05 (m)
Time: 16.57 (s), x: 10.77 (m), y: -0.06 (m)
Time: 16.67 (s), x: 10.77 (m), y: -0.08 (m)
Time: 16.77 (s), x: 10.78 (m), y: -0.10 (m)
Time: 16.87 (s), x: 10.79 (m), y: -0.11 (m)
Time: 16.97 (s), x: 10.80 (m), y: -0.13 (m)
Time: 17.08 (s), x: 10.81 (m), y: -0.14 (m)
Time: 17.18 (s), x: 10.83 (m), y: -0.15 (m)
Time: 17.28 (s), x: 10.84 (m), y: -0.16 (m)
Time: 17.38 (s), x: 10.86 (m), y: -0.16 (m)
Time: 17.49 (s), x: 10.88 (m), y: -0.17 (m)
Time: 17.59 (s), x: 10.90 (m), y: -0.17 (m)
Time: 17.69 (s), x: 10.91 (m), y: -0.17 (m)
Time: 17.79 (s), x: 10.93 (m), y: -0.16 (m)
Time: 17.89 (s), x: 10.95 (m), y: -0.16 (m)
Time: 18.00 (s), x: 10.96 (m), y: -0.15 (m)
Time: 18.10 (s), x: 10.98 (m), y: -0.14 (m)
Time: 18.20 (s), x: 10.99 (m), y: -0.13 (m)
Time: 18.30 (s), x: 11.00 (m), y: -0.11 (m)
Time: 18.40 (s), x: 11.01 (m), y: -0.10 (m)
Time: 18.51 (s), x: 11.02 (m), y: -0.08 (m)
Time: 18.61 (s), x: 11.02 (m), y: -0.06 (m)
Time: 18.71 (s), x: 11.03 (m), y: -0.04 (m)
Time: 18.81 (s), x: 11.03 (m), y: -0.03 (m)
Time: 18.92 (s), x: 11.02 (m), y: -0.01 (m)
Time: 19.02 (s), x: 11.02 (m), y: 0.00 (m)
Time: 19.12 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.22 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.32 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.43 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.53 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.63 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.73 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.84 (s), x: 11.01 (m), y: 0.02 (m)
Time: 19.94 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.04 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.14 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.24 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.35 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.45 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.55 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.65 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.75 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.86 (s), x: 11.01 (m), y: 0.02 (m)
Time: 20.96 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.06 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.16 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.27 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.37 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.47 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.57 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.68 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.78 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.88 (s), x: 11.01 (m), y: 0.02 (m)
Time: 21.98 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.09 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.19 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.29 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.39 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.50 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.60 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.70 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.80 (s), x: 11.01 (m), y: 0.02 (m)
Time: 22.90 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.01 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.11 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.21 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.31 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.42 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.52 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.62 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.72 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.82 (s), x: 11.01 (m), y: 0.02 (m)
Time: 23.93 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.03 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.13 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.24 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.34 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.44 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.54 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.64 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.75 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.85 (s), x: 11.01 (m), y: 0.02 (m)
Time: 24.95 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.05 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.15 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.26 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.36 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.46 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.56 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.66 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.77 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.87 (s), x: 11.01 (m), y: 0.02 (m)
Time: 25.97 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.07 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.18 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.28 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.38 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.48 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.58 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.69 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.79 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.89 (s), x: 11.01 (m), y: 0.02 (m)
Time: 26.99 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.09 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.20 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.30 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.40 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.50 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.60 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.71 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.81 (s), x: 11.01 (m), y: 0.02 (m)
Time: 27.91 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.01 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.11 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.22 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.32 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.42 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.53 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.63 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.73 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.83 (s), x: 11.01 (m), y: 0.02 (m)
Time: 28.93 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.04 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.14 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.24 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.34 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.44 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.55 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.65 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.75 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.85 (s), x: 11.01 (m), y: 0.02 (m)
Time: 29.95 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.06 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.16 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.26 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.36 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.46 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.57 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.67 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.77 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.87 (s), x: 11.01 (m), y: 0.02 (m)
Time: 30.98 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.08 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.18 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.28 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.39 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.49 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.59 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.69 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.79 (s), x: 11.01 (m), y: 0.02 (m)
Time: 31.90 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.00 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.10 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.20 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.30 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.41 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.51 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.61 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.71 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.81 (s), x: 11.01 (m), y: 0.02 (m)
Time: 32.92 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.02 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.12 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.22 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.33 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.43 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.53 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.63 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.73 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.84 (s), x: 11.01 (m), y: 0.02 (m)
Time: 33.94 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.04 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.14 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.25 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.35 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.45 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.55 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.65 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.75 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.86 (s), x: 11.01 (m), y: 0.02 (m)
Time: 34.96 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.06 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.16 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.27 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.37 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.47 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.57 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.67 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.78 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.88 (s), x: 11.01 (m), y: 0.02 (m)
Time: 35.98 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.08 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.19 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.29 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.39 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.49 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.59 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.70 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.80 (s), x: 11.01 (m), y: 0.02 (m)
Time: 36.90 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.00 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.10 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.21 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.31 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.41 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.51 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.61 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.72 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.82 (s), x: 11.01 (m), y: 0.02 (m)
Time: 37.92 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.02 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.12 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.23 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.33 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.43 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.53 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.64 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.74 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.84 (s), x: 11.01 (m), y: 0.02 (m)
Time: 38.94 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.04 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.15 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.25 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.35 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.45 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.55 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.66 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.76 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.86 (s), x: 11.01 (m), y: 0.02 (m)
Time: 39.96 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.06 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.17 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.27 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.37 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.47 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.57 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.68 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.78 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.88 (s), x: 11.01 (m), y: 0.02 (m)
Time: 40.98 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.09 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.19 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.29 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.39 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.49 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.60 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.70 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.80 (s), x: 11.01 (m), y: 0.02 (m)
Time: 41.90 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.00 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.11 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.21 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.31 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.41 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.52 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.62 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.72 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.82 (s), x: 11.01 (m), y: 0.02 (m)
Time: 42.92 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.03 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.13 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.23 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.33 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.43 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.54 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.64 (s), x: 11.01 (m), y: 0.02 (m)
Time: 43.74 (s), x: 11.01 (m), y: 0.02 (m)
