🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.93 (m), y: 0.08 (m)
Time: 0.11 (s), x: 10.90 (m), y: 0.08 (m)
Time: 0.22 (s), x: 10.88 (m), y: 0.07 (m)
Time: 14.84 (s), x: 11.05 (m), y: -0.19 (m)
Time: 14.94 (s), x: 11.08 (m), y: -0.17 (m)
Time: 15.04 (s), x: 11.09 (m), y: -0.15 (m)
Time: 15.15 (s), x: 11.11 (m), y: -0.12 (m)
Time: 15.25 (s), x: 11.11 (m), y: -0.09 (m)
Time: 15.35 (s), x: 11.11 (m), y: -0.07 (m)
Time: 15.45 (s), x: 11.11 (m), y: -0.04 (m)
Time: 15.56 (s), x: 11.10 (m), y: -0.01 (m)
Time: 15.66 (s), x: 11.08 (m), y: 0.01 (m)
Time: 15.76 (s), x: 11.06 (m), y: 0.03 (m)
Time: 15.87 (s), x: 11.04 (m), y: 0.04 (m)
Time: 15.97 (s), x: 11.03 (m), y: 0.06 (m)
Time: 16.07 (s), x: 11.02 (m), y: 0.07 (m)
Time: 16.17 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.28 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.38 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.48 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.59 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.69 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.79 (s), x: 11.02 (m), y: 0.08 (m)
Time: 16.90 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.00 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.10 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.20 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.31 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.41 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.52 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.62 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.72 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.82 (s), x: 11.02 (m), y: 0.08 (m)
Time: 17.93 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.03 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.13 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.24 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.34 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.44 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.55 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.65 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.75 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.85 (s), x: 11.02 (m), y: 0.08 (m)
Time: 18.96 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.06 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.16 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.27 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.37 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.47 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.58 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.68 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.78 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.89 (s), x: 11.02 (m), y: 0.08 (m)
Time: 19.99 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.09 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.20 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.30 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.40 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.50 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.61 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.71 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.81 (s), x: 11.02 (m), y: 0.08 (m)
Time: 20.92 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.02 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.12 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.23 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.33 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.43 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.53 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.64 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.74 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.84 (s), x: 11.02 (m), y: 0.08 (m)
Time: 21.95 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.05 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.15 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.25 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.36 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.46 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.56 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.66 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.77 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.87 (s), x: 11.02 (m), y: 0.08 (m)
Time: 22.97 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.08 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.18 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.28 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.38 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.49 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.59 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.69 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.80 (s), x: 11.02 (m), y: 0.08 (m)
Time: 23.90 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.00 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.10 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.21 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.31 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.41 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.52 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.62 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.72 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.82 (s), x: 11.02 (m), y: 0.08 (m)
Time: 24.93 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.03 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.13 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.24 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.34 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.44 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.55 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.65 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.75 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.85 (s), x: 11.02 (m), y: 0.08 (m)
Time: 25.96 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.06 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.16 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.27 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.37 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.47 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.57 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.68 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.78 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.88 (s), x: 11.02 (m), y: 0.08 (m)
Time: 26.99 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.09 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.19 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.30 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.40 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.50 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.60 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.71 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.81 (s), x: 11.02 (m), y: 0.08 (m)
Time: 27.91 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.02 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.12 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.22 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.32 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.43 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.53 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.63 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.73 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.84 (s), x: 11.02 (m), y: 0.08 (m)
Time: 28.94 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.04 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.15 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.25 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.35 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.45 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.56 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.66 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.76 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.87 (s), x: 11.02 (m), y: 0.08 (m)
Time: 29.97 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.07 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.17 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.28 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.38 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.48 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.59 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.69 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.79 (s), x: 11.02 (m), y: 0.08 (m)
Time: 30.89 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.00 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.10 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.20 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.31 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.41 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.51 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.62 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.72 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.82 (s), x: 11.02 (m), y: 0.08 (m)
Time: 31.92 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.03 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.13 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.23 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.34 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.44 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.54 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.65 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.75 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.85 (s), x: 11.02 (m), y: 0.08 (m)
Time: 32.96 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.06 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.16 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.27 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.37 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.47 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.57 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.68 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.78 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.88 (s), x: 11.02 (m), y: 0.08 (m)
Time: 33.99 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.09 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.19 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.30 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.40 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.50 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.60 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.71 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.81 (s), x: 11.02 (m), y: 0.08 (m)
Time: 34.91 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.02 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.12 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.22 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.33 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.43 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.53 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.63 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.74 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.84 (s), x: 11.02 (m), y: 0.08 (m)
Time: 35.94 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.05 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.15 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.25 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.35 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.46 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.56 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.66 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.77 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.87 (s), x: 11.02 (m), y: 0.08 (m)
Time: 36.97 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.07 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.18 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.28 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.38 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.48 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.59 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.69 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.79 (s), x: 11.02 (m), y: 0.08 (m)
Time: 37.90 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.00 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.10 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.20 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.31 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.41 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.51 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.62 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.72 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.82 (s), x: 11.02 (m), y: 0.08 (m)
Time: 38.92 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.03 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.13 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.23 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.34 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.44 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.54 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.64 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.75 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.85 (s), x: 11.02 (m), y: 0.08 (m)
Time: 39.95 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.05 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.16 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.26 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.36 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.46 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.57 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.67 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.77 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.88 (s), x: 11.02 (m), y: 0.08 (m)
Time: 40.98 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.08 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.19 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.29 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.39 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.49 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.60 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.70 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.80 (s), x: 11.02 (m), y: 0.08 (m)
Time: 41.91 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.01 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.11 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.21 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.32 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.42 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.52 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.63 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.73 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.83 (s), x: 11.02 (m), y: 0.08 (m)
Time: 42.93 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.04 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.14 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.24 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.35 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.45 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.55 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.65 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.76 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.86 (s), x: 11.02 (m), y: 0.08 (m)
Time: 43.96 (s), x: 11.02 (m), y: 0.08 (m)
Time: 44.06 (s), x: 11.02 (m), y: 0.08 (m)
Time: 44.17 (s), x: 11.02 (m), y: 0.08 (m)
Time: 44.27 (s), x: 11.02 (m), y: 0.08 (m)
